,model,Price
0,گوشی موبایل اپل مدل iPhone 13 Not Active ظرفیت 128GB دو سیم کارت,36800000 
1,گوشی موبایل اپل مدل iPhone 13 Pro Max ظرفیت 1TB تک سیم کارت,89500000 
2,گوشی موبایل اپل مدل iPhone 13 Pro ظرفیت 512GB تک سیم کارت,72000000 
3,گوشی موبایل اپل مدل iPhone 13 Pro ظرفیت 1TB تک سیم کارت,73500000 
4,گوشی موبایل اپل مدل iPhone 13 Pro Max ظرفیت 128GB تک سیم کارت,72000000 
5,گوشی موبایل اپل مدل iPhone 13 Pro Max ظرفیت 256GB تک سیم کارت,85500000 
6,گوشی موبایل اپل مدل iPhone 13 Not Active ظرفیت 256GB دو سیم کارت,43200000 
7,گوشی موبایل اپل مدل آیفون iPhone 11 Not Active ظرفیت 128 گیگابایت تک سیم کارت,31800000 
